Vacation_Search,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Atuona,PF,77.05,clear sky,-9.8,-139.03,Villa Enata
6,Celestun,MX,79.59,moderate rain,20.87,-90.4,Posada Lilia
9,Travnik,BA,77.0,clear sky,44.23,17.67,Bajra
13,Kapaa,US,80.6,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
19,Maputo,MZ,77.0,few clouds,-25.97,32.59,Pestana Rovuma
22,Nhulunbuy,AU,77.0,clear sky,-12.23,136.77,East Arnhem Real Estate
32,Ixtapa,MX,79.0,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
36,Salalah,OM,80.6,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
38,Novoselytsya,UA,75.0,broken clouds,48.22,26.27,Herovoe zavedenye
55,San Cristobal,VE,84.2,scattered clouds,7.77,-72.22,Pirineos
56,Arraial Do Cabo,BR,75.2,overcast clouds,-22.97,-42.03,Pousada Porto Praia
57,Samarai,PG,78.48,light rain,-10.62,150.67,Nuli Sapi
59,Foggia,IT,80.6,clear sky,41.45,15.53,B&B White
60,Denpasar,ID,80.6,broken clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
66,Dawei,MM,77.31,heavy intensity rain,14.08,98.2,Hotel Dawei
68,Mahebourg,MU,75.2,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
74,Kavieng,PG,83.84,overcast clouds,-2.57,150.8,Nusa Island Retreat
76,Butaritari,KI,77.52,overcast clouds,3.07,172.79,Isles Sunset Lodge
78,Harper,LR,80.85,broken clouds,4.38,-7.72,Screensaver
79,Quelimane,MZ,78.4,clear sky,-17.88,36.89,Hotel Flamingo
81,Ribeira Grande,PT,75.2,broken clouds,38.52,-28.7,Quinta da Meia Eira
86,Bambous Virieux,MU,75.99,scattered clouds,-20.34,57.76,Casa Tia Villa
87,Bubaque,GW,82.8,scattered clouds,11.28,-15.83,Casa Dora - Mango Lodge
89,Padang,ID,78.53,broken clouds,-0.95,100.35,Mercure Padang
93,Bafoulabe,ML,87.55,overcast clouds,13.81,-10.83,
98,Cabo San Lucas,MX,75.2,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
101,Merauke,ID,78.93,light rain,-8.47,140.33,
120,Gat,IL,82.0,clear sky,31.61,34.76,OlusHome
121,Pietersburg,ZA,82.4,light rain,-23.9,29.47,Fusion Boutique Hotel
125,Port Blair,IN,81.37,broken clouds,11.67,92.75,Fortune Resort Bay Island
127,Rajo Khanani,PK,86.41,clear sky,24.98,68.85,M sajid ali mobile shop
128,Sao Filipe,CV,78.6,clear sky,14.9,-24.5,Tortuga B&B
131,Bathsheba,BB,87.8,scattered clouds,13.22,-59.52,Atlantis Hotel
132,Kavaratti,IN,81.09,few clouds,10.57,72.64,Hotels in Lakshadweep Islands
133,San Policarpo,PH,80.1,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
135,Kendari,ID,76.03,scattered clouds,-3.94,122.5,Hotel Wixel
136,Acapulco,MX,80.6,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
147,Puerto Madero,MX,77.0,broken clouds,14.72,-92.42,Hotel La Central
148,Khagaria,IN,82.08,moderate rain,25.5,86.48,Hotel Amol Nac
149,Sabalgarh,IN,81.73,scattered clouds,26.25,77.4,Kailadevi studio
153,Ambilobe,MG,77.63,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
154,Qui Nhon,VN,80.6,overcast clouds,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
157,Isla Mujeres,MX,80.6,broken clouds,21.23,-86.73,Hotel La Joya Isla Mujeres
158,Sur,OM,82.53,clear sky,22.57,59.53,Sur Plaza Hotel
159,Souillac,MU,75.2,scattered clouds,-20.52,57.52,Bils' Villa
162,Mapiripan,CO,83.93,light rain,2.89,-72.13,Monserrate
163,Alofi,NU,75.2,overcast clouds,-19.06,-169.92,Taloa Heights
164,Dongli,CN,80.6,light rain,23.57,116.82,Chenghai Shizhang Donghuaqiao Hostel
172,Naze,JP,77.0,clear sky,28.37,129.48,奄美ポートタワーホテル
176,Hambantota,LK,82.4,scattered clouds,6.12,81.12,Bungalow 63
179,Pasni,PK,81.72,clear sky,25.26,63.47,3G hotel pasni
182,Ikwiriri,TZ,81.14,broken clouds,-7.96,38.97,Selous Lodge
188,Georgetown,MY,84.2,few clouds,5.41,100.34,Cititel Penang
189,Manggar,ID,80.44,overcast clouds,-2.88,108.27,Guest Hotel
190,Hobyo,SO,80.08,clear sky,5.35,48.53,Osmani Hotel
191,Nha Trang,VN,78.8,light rain,12.25,109.18,Hanoi Golden Hotel
196,Camabatela,AO,80.6,broken clouds,-8.19,15.38,Pensão E Restaurantes
204,San Patricio,MX,80.6,clear sky,19.22,-104.7,Hotel Cabo Blanco
210,Sabang,ID,83.25,few clouds,5.89,95.32,Hotel Citra
213,Nuqui,CO,77.68,overcast clouds,5.71,-77.27,Hotel Nuquimar
214,Dhar,IN,82.4,haze,22.6,75.3,Hotel Shrinath Residency
216,Grand Gaube,MU,75.99,scattered clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
221,Puerto Carreno,CO,86.47,overcast clouds,6.19,-67.49,Casa Hotel Victoria
223,Faanui,PF,76.86,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
228,Monrovia,LR,86.0,broken clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
231,Hirara,JP,80.76,few clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
233,Dwarka,IN,82.49,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
235,Cabedelo,BR,86.0,scattered clouds,-6.98,-34.83,Lua Mansa Pousada
240,Dod Ballapur,IN,75.2,broken clouds,13.29,77.54,OYO 40115 J P Palace
241,Bengkulu,ID,78.12,light rain,-3.8,102.27,Grage Hotel Bengkulu
242,Guerrero Negro,MX,78.8,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
243,Bandarbeyla,SO,78.96,light rain,9.49,50.81,REER XOOSHLE GROUP
248,Turayf,SA,86.0,clear sky,31.67,38.66,Swiss Spirit Hotel & Suites Turaif
251,Baillif,GP,86.0,overcast clouds,16.02,-61.75,Chambres Bougainvilliers Vue Mer
257,Buchanan,LR,86.0,broken clouds,5.88,-10.05,Kamaneahn Hotel Inc
258,Kibangay,PH,78.01,moderate rain,8.05,124.89,Bernardo Aroy Jorban Property
259,Sao Joao Da Barra,BR,80.6,broken clouds,-21.64,-41.05,Pousada Porto De Canoas
265,Camacha,PT,75.2,scattered clouds,33.08,-16.33,Hotel Porto Santo & Spa
266,Nioro,GM,87.94,light rain,13.35,-15.75,
267,Los Llanos De Aridane,ES,78.8,few clouds,28.66,-17.92,Valle Aridane
268,Bien Hoa,VN,77.0,moderate rain,10.95,106.82,OYO 991 Duy Anh Hotel
269,Bolisong,PH,80.56,moderate rain,9.69,123.15,David and Anna Resort Hotels (Bulinaw Beach Resort)
270,Rosetta,EG,84.2,clear sky,31.4,30.42,Green Valley
273,Labuhan,ID,81.37,scattered clouds,-6.88,112.21,bador sepret
274,Pahrump,US,77.0,clear sky,36.21,-115.98,Best Western Pahrump Oasis
276,Waingapu,ID,77.63,overcast clouds,-9.66,120.26,Pondok Wisata Elim
278,Hithadhoo,MV,82.65,light rain,-0.6,73.08,Scoop Guest House
279,Kalmunai,LK,81.77,few clouds,7.42,81.82,VS Villa
280,Dire Dawa,ET,76.6,clear sky,9.59,41.87,Samrat Hotel
281,Victoria,HK,84.0,light rain,22.29,114.16,Mini Hotel Central
292,Bhayavadar,IN,80.76,clear sky,21.85,70.25,Ami pan
293,Salinopolis,BR,85.69,few clouds,-0.61,-47.36,Hotel Salinópolis
302,Marsh Harbour,BS,83.44,overcast clouds,26.54,-77.06,Abaco Beach Resort
304,Porbandar,IN,82.42,clear sky,21.64,69.61,Lords Inn Porbandar
306,Piacabucu,BR,82.9,broken clouds,-10.41,-36.43,Piaçabuçu News
311,Marzuq,YE,80.44,few clouds,14.4,46.47,
312,Lagos,NG,83.61,light rain,6.58,3.75,
318,Eydhafushi,MV,82.45,clear sky,5.1,73.07,Soneva Fushi
322,Kharan,PK,76.55,clear sky,28.58,65.42,Ghani Hasrat House
323,Kieta,PG,79.36,light rain,-6.22,155.63,
330,Lorengau,PG,82.29,scattered clouds,-2.02,147.27,Lorengau Harbourside Hotel
331,Maudaha,IN,86.99,broken clouds,25.68,80.12,AJ Villa
335,Meulaboh,ID,79.38,heavy intensity rain,4.14,96.13,Kost Pria
338,Saint-Georges,GD,86.0,scattered clouds,12.06,-61.75,Siesta Hotel
339,Sokoni,TZ,78.44,scattered clouds,-6.43,39.55,Ujamaa Beach Resort
348,Bairiki,KI,78.8,broken clouds,1.33,172.98,Tarawa Boutique Hotel
355,Touros,BR,86.0,scattered clouds,-5.2,-35.46,INN NEW HORIZON
360,Muroto,JP,76.33,broken clouds,33.28,134.15,Oota Ryokan
361,Mandi Bahauddin,PK,82.08,clear sky,32.58,73.48,MBDIN SCHOOL & HOSTEL
362,Praia,CV,82.4,scattered clouds,14.92,-23.51,LT Aparthotel
364,Marmaris,TR,84.2,clear sky,36.85,28.27,Blue Bay Platinum
366,Axim,GH,81.14,scattered clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
367,Comarapa,BO,77.81,clear sky,-17.9,-64.48,
372,Vila Velha,BR,82.99,broken clouds,-20.33,-40.29,Hotel Vitória Palace
374,Hatillo,PR,86.0,broken clouds,18.49,-66.83,Hotel Parador El Buen Cafe
377,Kutum,SD,87.67,broken clouds,14.2,24.67,Dibbo areaمنطقة دبو
