WeatherPy_Database.csv,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Birao,CF,2020-10-04 03:31:53,10.28,22.79,69.46,92,100,1.9
1,Saint-Philippe,RE,2020-10-04 03:31:49,-21.36,55.77,71.6,73,90,2.24
2,Ancud,CL,2020-10-04 03:31:56,-41.87,-73.82,41.0,86,0,3.36
3,Butaritari,KI,2020-10-04 03:31:39,3.07,172.79,81.5,70,100,7.43
4,Harper,LR,2020-10-04 03:32:06,4.38,-7.72,76.35,88,32,8.75
5,East London,ZA,2020-10-04 03:31:45,-33.02,27.91,62.22,87,87,10.13
6,Ushuaia,AR,2020-10-04 03:31:38,-54.8,-68.3,41.0,80,75,5.82
7,Charters Towers,AU,2020-10-04 03:34:39,-20.1,146.27,84.51,30,28,18.21
8,Leningradskiy,RU,2020-10-04 03:32:10,69.38,178.42,31.24,95,100,14.85
9,Klaksvik,FO,2020-10-04 03:31:53,62.23,-6.59,51.8,100,100,14.99
10,Port Elizabeth,ZA,2020-10-04 03:31:39,-33.92,25.57,60.8,100,90,13.87
11,San Patricio,MX,2020-10-04 03:31:45,19.22,-104.7,76.96,82,0,3.49
12,Zhigansk,RU,2020-10-04 03:32:20,66.77,123.37,32.83,98,100,15.95
13,Mpika,ZM,2020-10-04 03:34:40,-11.83,31.45,61.03,53,0,3.51
14,Troitskoye,RU,2020-10-04 03:34:40,52.98,84.68,47.01,63,22,8.48
15,Matagami,CA,2020-10-04 03:32:28,49.75,-77.63,32.0,95,90,0.78
16,Kaitangata,NZ,2020-10-04 03:31:47,-46.28,169.85,52.0,83,100,1.99
17,Vaini,TO,2020-10-04 03:31:41,-21.2,-175.2,75.2,88,75,12.75
18,Olinda,BR,2020-10-04 03:29:51,-8.01,-34.86,78.8,74,40,5.82
19,Mahebourg,MU,2020-10-04 03:31:48,-20.41,57.7,71.6,94,75,3.36
20,Kapaa,US,2020-10-04 03:31:37,22.08,-159.32,86.0,70,75,9.17
21,Rikitea,PF,2020-10-04 03:31:37,-23.12,-134.97,73.54,78,2,17.49
22,Sioux Lookout,CA,2020-10-04 03:31:58,50.1,-91.92,39.2,64,90,3.36
23,Pevek,RU,2020-10-04 03:32:06,69.7,170.31,34.02,89,98,9.44
24,Saint George,US,2020-10-04 03:29:19,37.1,-113.58,78.8,7,1,5.82
25,Yingkou,CN,2020-10-04 03:34:40,40.66,122.23,55.09,39,0,17.25
